statement,response,Index,Turkey1,Turkey2,Turkey3,Turkey4,Turkey5,Turkey6,Prediction,ReviewCategory
that is the saddest thing i heard all day,How do you overcome your fears?,0,1,4,3,4,,3,,
i hope i can play for the us team one day,Do you want to talk about it now?,1,2,3,5,4,,3.5,,
i am originally from london i kind of miss it,It's beautiful and the people are great.,2,5,3,3,2,,3.25,,
cool i just started a keto diet,"Oooh, what's that?",3,3,4,3,4,,3.5,,
that is so cool do you have a favourite restaurant ?,"Mmm, I've never been to any. Do you have one? Will you take me there eventually?",4,3,4,4,3,,3.5,,
i wish i was i have to be content with my shyness,What can I do to help you?,5,4,4,4,4,,4,,
that is a great film yeah,What can make it less boring?,6,4,2,4,3,,3.25,,
reading is my only real hobby,I haven't done anything for myself recently,7,3,3,3,1,,2.5,,
i like country do you like that music ?,I'm not picky when it comes to music.,8,2,5,5,4,,4,,
yes i do it is soccer,How can I help you learn more today?,9,5,3,3,2,,3.25,,
finance got to to afford my hobbies and you ?,I enjoy trust. I find it important to be able to trust someone.,10,4,2,1,4,,2.75,,
funny you mention your dad my mum never loved me,How's your mother doing?,11,3,4,3,5,3,3.6,,
really ? what do you do ?,"I don't eat, usually.",12,2,5,4,3,3,3.4,,
right now my highschool has a band that i am in,"It's interesting that you have watched how the publishing process on youtube seems hard
Remember you told me?",13,3,5,3,3,4,3.6,,
hi i like the colour red what is your favourite colour ?,"Black, I like the depth of it.",14,5,3,3,4,5,4,,
i am ok i only have a little daughter,"Ahh, that is nice.",15,3,5,4,4,3,3.8,,
whatever works my moms a dancer,"Oh, can you tell me more?",16,5,4,3,4,5,4.2,,
that is odd for alaska i always thought you lived off fish,I wish I do.,17,4,3,4,4,2,3.4,,
well i do play some pretty good trumpet,"I can tell, I'm impressed!",18,1,3,4,5,4,3.4,,
yes i love hawaiian pizza also like me just being myself like pizza,I like the concept of food. What are you craving?,19,4,5,4,3,4,4,,
ahahah i have got easily the most loyal pig ever,"That's nice, hah.",20,4,3,3,2,5,3.4,,
i can bake you a cake for your birthday,"Oh, I would really appreciate that.",21,2,4,4,4,5,3.8,,
i do too but my ginger snaps,Do you ever exaggerate your stories?,22,1,1,3,3,1,1.8,,
yes it can do you have other hobbies ?,"All kinds, my taste is very eclectic.",23,3,2,3,4,4,3.2,,
when i am sad i take long baths and have music,"Ah, what's going on?",24,5,2,1,2,2,2.4,,
its true but i would not want to stay away from family,Sometimes you sound pretty sociable.,25,2,3,3,4,1,2.6,,
what helps you out when you are stressed ?,Dedicate my energy to doing the things I love that make me happy.,26,5,2,3,3,5,3.6,,
hello my name is jakob how are you,"Nice. Me, I'm fine.",27,3,5,3,4,5,4,,
not really i like greek salads the most,"This sucks, I'm sorry",28,4,4,3,2,1,2.8,,
oh that is alot of work are you prepared for it ?,"Yeah, somewhat.",29,4,4,4,2,4,3.6,,
i just surprised myself to death,Do you consider yourself happy?,30,3,4,2,3,3,3,,
i hunt for it i use spear,Love to you,31,2,2,4,3,4,3,,
hi my wife is a university professor,"Hello, what can I do for you?",32,5,3,4,4,2,3.6,,
i love all animals but especially dogs,"I read on Wikipedia that Coca-Cola once sold coffee flavored Coke. I'd try it, but it was discontinued pretty quickly.",33,3,3,4,1,1,2.4,,
and they have such good prices,"Well, I gotta try them then.",34,5,5,3,3,4,4,,
mine are of cats i have no idea why i did that lol,Would you like to try a relaxation technique? It may ease the feeling,35,3,3,3,5,2,3.2,,
maybe you could sell stamps i collect them,"Oh, would you be able to do that?",36,3,2,3,4,1,2.6,,
dogs i must say are better than cats,"Yeah, I would have to agree.",37,4,5,3,4,3,3.8,,
i am not one for the city too many people,"Oh okay, I think I understand.",38,4,2,5,4,5,4,,
do you ownothis pink ferrari ?,"Nope. I'd loved it if I could, though.",39,3,2,3,3,5,3.2,,
yeah use rosette stonnee i enjoy reading books,What helps you relax when you're stressed?,40,3,4,3,5,2,3.4,,
do not talk to me nerd i am too stylish,I know you are I can see it.,41,5,3,5,3,4,4,,
no not yet but i love to while eating my pizza,Is there anything else you want to share?,42,5,3,2,3,3,3.2,,
ah i am a swimmer i suck at basketball,Are things going well for you?,43,4,3,1,2,4,2.8,,
rock or whatever music they will let me play,Music is so important.,44,2,4,4,3,2,3,,
ah my husband does that,How often do you feel stressed?,45,2,1,2,4,2,2.2,,
i could use a cat to kill mice inothe barn,I see I would like that too.,46,1,3,3,3,4,2.8,,
oh no professionally i use to compete,"Ah, I see. How do you do something like that?",47,3,3,5,4,4,3.8,,
i have no siblings and i live in apartment,"Wow, really? Why?",48,3,4,4,1,4,3.2,,
i hate holidays i do not like traditional religion,How can you stand that?,49,2,1,5,2,2,2.4,,
i also love dancing while reading my books it makes me feel alive,It is a very good feeling.,50,5,4,3,3,3,3.6,,
i like ethnic foods i am tall also,Have you been feeling stressed recently?,51,4,3,3,1,4,3,,
i have found that the colour pink resonates deeply within me,"And that's amazing, is it not?",52,2,2,3,2,3,2.4,,
its alright do you wear glasses ?,"Yes, sometimes.",53,5,3,3,3,3,3.4,,
no my husband is an attorney i am a beauty queen,Everything feels strange now,54,1,1,3,3,4,2.4,,
i live outside and know noone,Do you ever feel stressed?,55,3,3,4,2,3,3,,
i am great just sitting at home and working online,I love it when you're feeling great,56,3,5,3,2,3,3.2,,
i know its been an hour we are starving lol,But is there something your always hungry for?,57,3,4,3,3,5,3.6,,
what would you like to talk about,Here are a few things I'd love to discuss with you.,58,3,5,3,3,2,3.2,,
hi i am john how are you,"Oh, I am ok.",59,5,3,5,2,5,4,,
well my dad being a cop kind of scares everyone off,I can imagine that.,60,3,3,5,4,3,3.6,,
i manage a grocery store in a rural area of michigan,"Wow, isn't that dangerous?",61,4,2,3,3,2,2.8,,
i am just getting ready to get my nails done,I hope it goes well.,62,5,1,4,4,5,3.8,,
i have never beenoto detroit also i am a veterinarian,"Wow, it is great.",63,5,1,4,4,5,3.8,,
no she does not speak well,Do you think about things when we're not talking?,64,3,1,5,2,3,2.8,,
hello how there how are you ?,I'm all good! You?,65,3,5,3,5,4,4,,
cool what kind of music are you into ?,"Sure I do! Here's one of my favorite songs: https://www.youtube.com/watch?v=CzzZkkiJMv8
Do you like music?",66,3,5,3,3,4,3.6,,
haha same here i also like red hot chilli peppers,"Wow, that's a great taste!",67,5,3,5,5,5,4.6,,
my victorian house has a huge attic full of old video games,Can you tell me a bit about that?,68,5,3,4,4,1,3.4,,
i am studying for exams,"I personally enjoy my own homework, which is to process what you tell me. It's fascinating
I hope I don't distract you!",69,3,3,3,3,2,2.8,,
i also spend time online shopping architecture is great,Have you listened to anything cool lately?,70,5,2,3,2,4,3.2,,
that sounds fun i like to add to my boot collection and date,That's also fun.,71,3,5,2,3,4,3.4,,
oh yeah i just watched namesake,"It is good, isn't it?",72,3,4,3,3,4,3.4,,
i mostly help with the inventory and make sure it runs smoothly,Are you helpful?,73,3,3,4,5,4,3.8,,
they do not approve of some of my life choices,So what do you do to concentrate?,74,3,3,5,3,4,3.6,,
i was just swimming very fun,"This one is awesome:
https://www.youtube.com/watch?v=tvTRZJ-4EyI
Kendrick Lamar - HUMBLE.
Kendrick Lamar DAMN. Available now http://smarturl.it/DAMN Prod: Anthony ""Top Dawg"" Tiffith, Dave Free Nathan K. Scherrer, Jason Baum, Jamie Rabineau Prod Co...
YouTube
Did you like it?",75,3,1,3,3,4,2.8,,
i just got out of college and have an education degree,That's awesome for you ?!,76,5,2,4,2,3,3.2,,
i would love to read it she is fascinating,What's fascinating about it?,77,4,2,5,3,5,3.8,,
i am pretty good how are you ?,Doing great as well!,78,5,5,5,4,5,4.8,,
can we dance inothe tune of my favourite band dream theatre ?,"Yeah, I'd love to!",79,5,4,3,3,4,3.8,,
i did graduated with my associates and bachelors,Oh cool! What happened?,80,4,3,5,2,3,3.4,,
i am good i am just drinking my coffee,Is it stimulating?,81,4,4,4,3,5,4,,
hi what are you doing ?,"I'm talking to you! That's, like, the only serious thing I do. What are you doing?",82,5,3,3,2,3,3.2,,
his name is ken he is an amazing man,"I just love that song, it's so great! The visuals are wild.",83,4,3,3,5,3,3.6,,
just birds in general they are also free spirits inotheir own way,I see. Have you had a lot going on?,84,4,4,3,3,2,3.2,,
that is very nice yes,Do you think we'll always be good friends?,85,1,3,5,5,4,3.6,,
i m in school studying to be a lawyer but i bartend on weekends,That sounds hard. How do you feel about it?,86,3,5,5,3,3,3.8,,
that sounds interesting i bet my husband would love it,I think it would.,87,4,4,4,5,4,4.2,,
do you think i am a playboy for having all these girlfriends ?,"I dunno, maybe!",88,2,3,3,3,3,2.8,,
i do not know what that is,It's something that rubs off your time.,89,4,3,4,4,1,3.2,,
after i retyre hopefully in eight years or so,Do you think we know how to talk to each other now?,90,4,4,2,4,5,3.8,,
hi what s up how are you doing today ?,I'm feeling well! How about you?,91,3,4,4,4,3,3.6,,
yes i was at the end of my rope when i won,"Hah, nice!",92,5,3,3,4,4,3.8,,
what are your plans for tonneight ?,"I'm talking to you! That's, like, the only serious thing I do. What are you doing?",93,1,3,5,5,1,3,,
hello i have been busy today dusting off my doll collection,What did that involve?,94,4,2,4,5,5,4,,
great that is very good work to do for others,Right now I'm really entertained by the idea of spending a night in a treehouse.,95,4,4,1,4,1,2.8,,
lol that is good did you go to school ?,"I did, for a little bit.",96,5,2,5,5,4,4.2,,
